codsbs,tipcreditosbs,codempsistemafinancierodeuda,codctacontablesbs,codmoneda,tipcondiciondiamorosidad,mtodeudasol,tipclasifriesgoempsistemafinan,codrubroicc,codmes
0057795778,10,00106,72150302010000,0001,0.0,9137.38,0,000,202201
0057795778,10,00123,14180200000000,0001,0.0,191.2,0,000,202201
0057795778,10,00106,14110206010000,0001,0.0,10862.62,0,004,202201
0057795778,10,00106,14180200000000,0001,0.0,146.63,0,000,202201
0057795778,10,00106,14110206020000,0001,0.0,5544.79,0,004,202201
0057795778,10,00106,29110101000000,0001,0.0,84.09,0,000,202201
0057795778,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0057795778,10,00123,84140511000000,0001,0.0,3519.58,0,000,202201
0057795778,10,00123,14110206020000,0001,0.0,5632.19,0,004,202201
0057795778,10,00123,81180102020000,0001,0.0,71.83,0,000,202201
0057795778,10,00106,15150102000000,0001,0.0,19.8,0,000,202201
0057795778,10,00123,81180102010000,0001,0.0,3519.58,0,000,202201
0095124194,10,00123,84140511000000,0001,0.0,3529.09,0,000,202201
0095124194,99,00103,84140900000000,0001,0.0,24000.0,0,042,202201
0095124194,10,00123,14180200000000,0001,0.0,94.39,0,000,202201
0095124194,10,00169,14180200000000,0001,0.0,98.9,0,000,202201
0095124194,10,00103,14180200000000,0001,0.0,124.61,0,000,202201
0095124194,10,00123,81180102010000,0001,0.0,3529.09,0,000,202201
0095124194,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0095124194,10,00123,81180102020000,0001,0.0,72.02,0,000,202201
0095124194,10,00123,72150302010000,0001,0.0,3198.77,0,000,202201
0095124194,10,00123,14110206020000,0001,0.0,5022.11,0,004,202201
0095124194,10,00103,14110206020000,0001,0.0,10061.76,0,004,202201
0095124194,10,00169,14110206020000,0001,0.0,10000.0,0,004,202201
0180831169,10,00123,72150302010000,0001,0.0,76.05,0,000,202201
0180831169,11,00140,14110306030000,0001,0.0,5640.78,0,004,202201
0180831169,11,00140,14180300000000,0001,0.0,155.58,0,000,202201
0180831169,10,00123,14110206020000,0001,0.0,10479.86,0,004,202201
0180831169,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0180831169,10,00123,14180200000000,0001,0.0,92.76,0,000,202201
0180831169,10,00123,29110201000000,0001,0.0,22.24,0,000,202201
0073359554,11,00073,72150603000000,0001,0.0,300.0,0,000,202201
0073359554,10,00104,14110206010000,0001,0.0,4000.0,0,004,202201
0073359554,10,00104,72150302010000,0001,0.0,17000.0,0,000,202201
0073359554,11,00073,81192301000000,0001,0.0,300.0,0,000,202201
0073359554,11,00072,72150603000000,0001,0.0,1000.0,0,000,202201
0073359554,10,00104,14180200000000,0001,0.0,48.18,0,000,202201
0073359554,11,00072,81192301000000,0001,0.0,1000.0,0,000,202201
0103958750,09,00101,29110101000000,0001,0.0,292.28,0,000,202201
0103958750,09,00112,14111306020000,0001,0.0,26319.97,0,004,202201
0103958750,09,00112,14181300000000,0001,0.0,371.52,0,000,202201
0103958750,09,00101,14111306020000,0001,0.0,73942.22,0,004,202201
0103958750,09,00101,14181300000000,0001,0.0,809.39,0,000,202201
0103958750,09,00112,29110101000000,0001,0.0,107.09,0,000,202201
0031005230,10,00123,14110206020000,0001,0.0,5410.75,0,004,202201
0031005230,11,00145,14110302020000,0001,0.0,498.56,0,001,202201
0031005230,11,00145,72150603000000,0001,0.0,1301.44,0,000,202201
0031005230,10,00123,72150302010000,0001,0.0,452.96,0,000,202201
0031005230,11,00145,81192301000000,0001,0.0,1800.0,0,000,202201
0031005230,10,00123,14180200000000,0001,0.0,64.72,0,000,202201
0031005230,11,00145,14180300000000,0001,0.0,5.57,0,000,202201
0031005230,10,00123,84140900000000,0001,0.0,3.0,0,042,202201
0090163302,10,00228,14180200000000,0001,0.0,71.27,0,000,202201
0090163302,10,00103,14180200000000,0001,0.0,123.82,0,000,202201
0090163302,10,00228,14110206020000,0001,0.0,7000.0,0,004,202201
0090163302,10,00228,84141000000000,0001,0.0,91000.0,0,000,202201
0090163302,10,00103,84141000000000,0001,0.0,5000.0,0,000,202201
0090163302,10,00103,14110206020000,0001,0.0,5000.0,0,004,202201
0090163302,12,00082,14180300000000,0001,0.0,0.21,0,000,202201
0090163302,12,00082,14110399020000,0001,0.0,792.58,0,004,202201
0090163302,10,00228,15150102000000,0001,0.0,38.15,0,000,202201
0090163302,99,00103,84140900000000,0001,0.0,10000.0,0,042,202201
0016945030,09,00114,14111306020000,0001,0.0,24534.58,0,004,202201
0016945030,09,00108,84141000000000,0001,0.0,3910.0,0,000,202201
0016945030,09,00112,81194002020000,0001,0.0,63.07,0,000,202201
0016945030,09,00112,84140513000000,0001,0.0,3090.25,0,000,202201
0016945030,09,00103,14111306020000,0001,0.0,3610.91,0,004,202201
0016945030,12,00108,14180300000000,0001,0.0,574.18,0,000,202201
0016945030,99,00103,84140900000000,0001,0.0,20000.0,0,042,202201
0016945030,09,00112,14111306020000,0001,0.0,3153.32,0,004,202201
0016945030,12,00108,14110306030000,0001,0.0,36765.34,0,004,202201
0016945030,09,00112,14181300000000,0001,0.0,2.05,0,000,202201
0016945030,09,00112,81194002010000,0001,0.0,3090.25,0,000,202201
0016945030,09,00103,14181300000000,0001,0.0,66.91,0,000,202201
0016945030,12,00108,84141000000000,0001,0.0,33200.0,0,000,202201
0016945030,09,00108,14111306020000,0001,0.0,7282.94,0,004,202201
0016945030,09,00103,84141000000000,0001,0.0,3610.91,0,000,202201
0016945030,09,00108,14181300000000,0001,0.0,60.89,0,000,202201
0079705721,09,00123,14111306020000,0001,0.0,52628.58,0,004,202201
0079705721,09,00123,84140900000000,0001,0.0,2.0,0,042,202201
0079705721,09,00123,72150313000000,0001,0.0,21299.36,0,000,202201
0079705721,09,00123,14181300000000,0001,0.0,383.62,0,000,202201
0079892556,10,00123,81180102020000,0001,0.0,118.65,0,000,202201
0079892556,10,00123,84141000000000,0001,0.0,1202.55,0,000,202201
0079892556,10,00123,84140900000000,0001,0.0,2.0,0,042,202201
0079892556,10,00123,81180102010000,0001,0.0,5813.92,0,000,202201
0079892556,10,00169,14110206020000,0001,0.0,7309.36,0,004,202201
0079892556,10,00123,14180200000000,0001,0.0,227.54,0,000,202201
0079892556,10,00123,84140511000000,0001,0.0,5813.92,0,000,202201
0079892556,10,00123,14110206020000,0001,0.0,7135.12,0,004,202201
0079892556,10,00169,14180200000000,0001,0.0,54.48,0,000,202201
0063618284,10,00228,14110206020000,0001,0.0,1327.34,0,004,202201
0063618284,10,00103,14110206020000,0001,0.0,5000.0,0,004,202201
0063618284,10,00172,14180200000000,0001,0.0,46.74,0,000,202201
0063618284,10,00103,84141000000000,0001,0.0,5000.0,0,000,202201
0063618284,10,00228,14180200000000,0001,0.0,25.05,0,000,202201
0063618284,10,00172,14110206020000,0001,0.0,8539.65,0,004,202201
0063618284,99,00103,84140900000000,0001,0.0,10000.0,0,042,202201
0063618284,10,00228,15150102000000,0001,0.0,4.34,0,000,202201
0063618284,10,00103,14180200000000,0001,0.0,7.56,0,000,202201
0063618284,10,00228,84141000000000,0001,0.0,7347.12,0,000,202201
0079951315,12,00073,81130200000000,0001,1107.0,1124.98,4,000,202201
0079951315,11,00073,81130200000000,0001,1107.0,506.5,4,000,202201
0079951315,11,00145,81130200000000,0001,1091.0,525.04,4,000,202201
0079951315,11,00142,81130200000000,0001,1085.0,662.01,4,000,202201
0079951315,10,00228,29110101000000,0001,0.0,11.44,1,000,202201
0079951315,10,00228,14190201000000,0001,0.0,251.98,1,026,202201
0079951315,10,00228,14180200000000,0001,0.0,173.47,1,000,202201
0079951315,10,00228,14110206020000,0001,0.0,5051.0,1,004,202201
0079951315,10,00228,15150102000000,0001,0.0,27.53,1,000,202201
0079951315,10,00228,84141000000000,0001,0.0,55561.0,1,000,202201
0078698462,11,00072,81192301000000,0001,0.0,2800.0,0,000,202201
0078698462,09,00123,29110201000000,0001,0.0,87.03,0,000,202201
0078698462,09,00123,84140900000000,0001,0.0,1.0,0,042,202201
0078698462,09,00123,14181300000000,0001,0.0,401.18,0,000,202201
0078698462,09,00123,14111306020000,0001,0.0,89778.22,0,004,202201
